"id";"name";"content_type_id";"codename"
1;"Can add log entry";1;"add_logentry"
2;"Can change log entry";1;"change_logentry"
3;"Can delete log entry";1;"delete_logentry"
4;"Can view log entry";1;"view_logentry"
5;"Can add permission";2;"add_permission"
6;"Can change permission";2;"change_permission"
7;"Can delete permission";2;"delete_permission"
8;"Can view permission";2;"view_permission"
9;"Can add group";3;"add_group"
10;"Can change group";3;"change_group"
11;"Can delete group";3;"delete_group"
12;"Can view group";3;"view_group"
13;"Can add user";4;"add_user"
14;"Can change user";4;"change_user"
15;"Can delete user";4;"delete_user"
16;"Can view user";4;"view_user"
17;"Can add content type";5;"add_contenttype"
18;"Can change content type";5;"change_contenttype"
19;"Can delete content type";5;"delete_contenttype"
20;"Can view content type";5;"view_contenttype"
21;"Can add session";6;"add_session"
22;"Can change session";6;"change_session"
23;"Can delete session";6;"delete_session"
24;"Can view session";6;"view_session"
25;"Can add driver";7;"add_driver"
26;"Can change driver";7;"change_driver"
27;"Can delete driver";7;"delete_driver"
28;"Can view driver";7;"view_driver"
29;"Can add log";8;"add_log"
30;"Can change log";8;"change_log"
31;"Can delete log";8;"delete_log"
32;"Can view log";8;"view_log"
33;"Can add group";9;"add_group"
34;"Can change group";9;"change_group"
35;"Can delete group";9;"delete_group"
36;"Can view group";9;"view_group"
37;"Can add log edit";10;"add_logedit"
38;"Can change log edit";10;"change_logedit"
39;"Can delete log edit";10;"delete_logedit"
40;"Can view log edit";10;"view_logedit"
41;"Can add driver";11;"add_driver"
42;"Can change driver";11;"change_driver"
43;"Can delete driver";11;"delete_driver"
44;"Can view driver";11;"view_driver"
45;"Can add location";12;"add_location"
46;"Can change location";12;"change_location"
47;"Can delete location";12;"delete_location"
48;"Can view location";12;"view_location"
49;"Can add vehicle";13;"add_vehicle"
50;"Can change vehicle";13;"change_vehicle"
51;"Can delete vehicle";13;"delete_vehicle"
52;"Can view vehicle";13;"view_vehicle"
53;"Can add log";14;"add_log"
54;"Can change log";14;"change_log"
55;"Can delete log";14;"delete_log"
56;"Can view log";14;"view_log"
57;"Can add log";15;"add_log"
58;"Can change log";15;"change_log"
59;"Can delete log";15;"delete_log"
60;"Can view log";15;"view_log"
61;"Can add trailer";16;"add_trailer"
62;"Can change trailer";16;"change_trailer"
63;"Can delete trailer";16;"delete_trailer"
64;"Can view trailer";16;"view_trailer"
65;"Can add log";17;"add_log"
66;"Can change log";17;"change_log"
67;"Can delete log";17;"delete_log"
68;"Can view log";17;"view_log"
69;"Can add driver";18;"add_driver"
70;"Can change driver";18;"change_driver"
71;"Can delete driver";18;"delete_driver"
72;"Can view driver";18;"view_driver"
