"id";"change";"budget_type";"bol_number";"pcs_number";"user";"date";"note";"driver_id";"is_edited";"current_rate";"original_rate";"total_miles"
239;0.0;"D";"2006990";"100489";"alex";"2022-08-09 13:58:30.087437";"";57;0;1523.0;1523.0;543
238;95.68;"D";"111CG211X";"100477";"alex";"2022-08-09 13:57:46.082612";"";57;0;1650.0;1745.68;475
237;0.0;"D";"UW1926173";"107777";"alex";"2022-08-09 13:56:54.294813";"";56;0;2500.0;2500.0;848
224;0.0;"D";"";"107729";"bekzod";"2022-08-09 13:36:29.759325";"";45;0;626.54;626.54;191
225;-50.0;"D";"";"107762";"bekzod";"2022-08-09 13:37:02.156019";"";45;0;1500.0;1450.0;454
226;0.0;"D";"0141946";"107724";"alex";"2022-08-09 13:44:15.966467";"PU from Railyard no BOL ,ingate ,outgate tickets are enough";55;0;2250.0;2250.0;704
236;95.68;"L";"1111NFG1X";"107791";"james";"2022-08-09 13:55:33.529952";"";48;0;1650.0;1745.68;474
234;0.0;"D";"SL211264362";"107754";"james";"2022-08-09 13:54:21.508085";"";48;0;1700.0;1700.0;558
235;95.68;"D";"114ZTPLZJ";"100490";"alex";"2022-08-09 13:55:30.804547";"";56;0;1650.0;1745.68;475
233;95.68;"D";"114W2KD6Z";"100491";"alex";"2022-08-09 13:54:00.213981";"";58;0;1650.0;1745.68;475
232;-54.32;"L";"114DKNLWQ";"107721";"james";"2022-08-09 13:53:24.535913";"";48;0;1800.0;1745.68;474
219;-100.0;"D";"";"107756";"bekzod";"2022-08-09 13:32:01.775929";"";26;0;4000.0;3900.0;1388
220;0.0;"D";"";"107719";"bekzod";"2022-08-09 13:34:49.735527";"";60;0;1800.0;1800.0;636
221;-500.0;"D";"";"107757";"bekzod";"2022-08-09 13:35:16.014031";"";60;0;3612.71;3112.71;1770
222;0.0;"D";"632576";"107753";"hannah";"2022-08-09 13:35:35.346043";"";28;0;1550.0;1550.0;629
223;-50.0;"D";"T-111X58C2Z";"107784";"hannah";"2022-08-09 13:36:29.274339";"";16;0;1000.0;950.0;277
231;0.0;"D";"50557383";"107768";"alex";"2022-08-09 13:51:33.391274";"";54;0;900.0;900.0;254
216;0.0;"D";"549";"";"hannah";"2022-08-14 09:50:04.416210";"";23;1;1500.0;1500.0;626
